Bird Name,Category
Sanderling,Shorebirds
Dunlin,Shorebirds
Purple Sandpiper,Shorebirds
Rock Sandpiper,Shorebirds
Purple/Rock Sandpiper,Shorebirds
Baird's Sandpiper,Shorebirds
Little Stint,Shorebirds
White-rumped Sandpiper,Shorebirds
Least Sandpiper,Shorebirds
Pectoral Sandpiper,Shorebirds
Sharp-tailed/Pectoral Sandpiper,Shorebirds
Western Sandpiper,Shorebirds
Semipalmated Sandpiper,Shorebirds
Western/Semipalmated Sandpiper,Shorebirds
peep sp.,Shorebirds
Calidris sp.,Shorebirds
Scolopacidae sp.,Shorebirds
large shorebird sp.,Shorebirds
shorebird sp.,Shorebirds
Long-tailed Jaeger,Skuas and Jaegers
Parasitic Jaeger,Skuas and Jaegers
Long-tailed/Parasitic Jaeger,Skuas and Jaegers
Pomarine Jaeger,Skuas and Jaegers
Parasitic/Pomarine Jaeger,Skuas and Jaegers
South Polar Skua,Skuas and Jaegers
jaeger sp.,Skuas and Jaegers
jaeger/skua sp.,Skuas and Jaegers
Rhinoceros Auklet,Alcids
Tufted Puffin,Alcids
Horned Puffin,Alcids
Cassin's Auklet,Alcids
Crested Auklet,Alcids
Parakeet Auklet,Alcids
auklet sp.,Alcids
Kittlitz's Murrelet,Alcids
Marbled Murrelet,Alcids
Pigeon Guillemot,Alcids
Dovekie,Alcids
Thick-billed Murre,Alcids
Common Murre,Alcids
Thick-billed/Common Murre,Alcids
large alcid sp.,Alcids
Ancient Murrelet,Alcids
Scripps's Murrelet,Alcids
Guadalupe Murrelet,Alcids
Scripps's/Guadalupe Murrelet (Xantus's Murrelet),Alcids
murrelet sp.,Alcids
alcid sp.,Alcids
Little Gull,"Gulls, Terns, and Skimmers"
Ross's Gull,"Gulls, Terns, and Skimmers"
Black-legged Kittiwake,"Gulls, Terns, and Skimmers"
Red-legged Kittiwake,"Gulls, Terns, and Skimmers"
Ivory Gull,"Gulls, Terns, and Skimmers"
Sabine's Gull,"Gulls, Terns, and Skimmers"
Bonaparte's Gull,"Gulls, Terns, and Skimmers"
Black-headed Gull,"Gulls, Terns, and Skimmers"
Laughing Gull,"Gulls, Terns, and Skimmers"
Franklin's Gull,"Gulls, Terns, and Skimmers"
Black-tailed Gull,"Gulls, Terns, and Skimmers"
Heermann's Gull,"Gulls, Terns, and Skimmers"
Short-billed Gull,"Gulls, Terns, and Skimmers"
Common/Short-billed Gull,"Gulls, Terns, and Skimmers"
Ring-billed Gull,"Gulls, Terns, and Skimmers"
Western Gull,"Gulls, Terns, and Skimmers"
American Herring Gull,"Gulls, Terns, and Skimmers"
Vega Gull,"Gulls, Terns, and Skimmers"
American Herring/Vega Gull,"Gulls, Terns, and Skimmers"
Vega/Mongolian Gull,"Gulls, Terns, and Skimmers"
Great Black-backed Gull,"Gulls, Terns, and Skimmers"
Glaucous Gull,"Gulls, Terns, and Skimmers"
American Herring x Glaucous Gull (hybrid),"Gulls, Terns, and Skimmers"
American Herring/Vega/European Herring x Glaucous Gull (hybrid),"Gulls, Terns, and Skimmers"
Lesser Black-backed Gull,"Gulls, Terns, and Skimmers"
Herring complex/Lesser Black-backed Gull,"Gulls, Terns, and Skimmers"
California Gull,"Gulls, Terns, and Skimmers"
Ring-billed x California Gull (hybrid),"Gulls, Terns, and Skimmers"
Glaucous-winged Gull,"Gulls, Terns, and Skimmers"
Western x Glaucous-winged Gull (hybrid),"Gulls, Terns, and Skimmers"
American Herring x Glaucous-winged Gull (hybrid),"Gulls, Terns, and Skimmers"
Glaucous x Glaucous-winged Gull (hybrid),"Gulls, Terns, and Skimmers"
American Herring/Glaucous-winged Gull,"Gulls, Terns, and Skimmers"
Western/Glaucous-winged Gull,"Gulls, Terns, and Skimmers"
Slaty-backed Gull,"Gulls, Terns, and Skimmers"
Glaucous-winged x Slaty-backed Gull (hybrid),"Gulls, Terns, and Skimmers"
Iceland Gull,"Gulls, Terns, and Skimmers"
American Herring/Iceland Gull,"Gulls, Terns, and Skimmers"
white-winged gull sp.,"Gulls, Terns, and Skimmers"
Larus sp.,"Gulls, Terns, and Skimmers"
gull sp.,"Gulls, Terns, and Skimmers"
Least Tern,"Gulls, Terns, and Skimmers"
Caspian Tern,"Gulls, Terns, and Skimmers"
Black Tern,"Gulls, Terns, and Skimmers"
Forster's Tern,"Gulls, Terns, and Skimmers"
Arctic Tern,"Gulls, Terns, and Skimmers"
Common Tern,"Gulls, Terns, and Skimmers"
Forster's/Common Tern,"Gulls, Terns, and Skimmers"
Common/Arctic Tern,"Gulls, Terns, and Skimmers"
Sterna sp.,"Gulls, Terns, and Skimmers"
Elegant Tern,"Gulls, Terns, and Skimmers"
tern sp.,"Gulls, Terns, and Skimmers"
gull/tern sp.,"Gulls, Terns, and Skimmers"
American Flamingo,Flamingos
Pied-billed Grebe,Grebes
Horned Grebe,Grebes
Red-necked Grebe,Grebes
Eared Grebe,Grebes
Horned/Eared Grebe,Grebes
Podiceps sp.,Grebes
Western Grebe,Grebes
Clark's Grebe,Grebes
Western x Clark's Grebe (hybrid),Grebes
Western/Clark's Grebe,Grebes
grebe sp.,Grebes
Red-throated Loon,Loons
Arctic Loon,Loons
Pacific Loon,Loons
Arctic/Pacific Loon,Loons
Common Loon,Loons
Yellow-billed Loon,Loons
Common/Yellow-billed Loon,Loons
loon sp.,Loons
large albatross sp.,Albatrosses
Laysan Albatross,Albatrosses
Black-footed Albatross,Albatrosses
Short-tailed Albatross,Albatrosses
albatross sp.,Albatrosses
Fork-tailed Storm-Petrel,Storm-Petrels
Leach's Storm-Petrel,Storm-Petrels
Hydrobates sp.,Storm-Petrels
storm-petrel sp.,Storm-Petrels
Northern Fulmar,"Petrels, Shearwaters, and Diving-Petrels"
Murphy's Petrel,"Petrels, Shearwaters, and Diving-Petrels"
Mottled Petrel,"Petrels, Shearwaters, and Diving-Petrels"
Hawaiian Petrel,"Petrels, Shearwaters, and Diving-Petrels"
Cook's Petrel,"Petrels, Shearwaters, and Diving-Petrels"
Pterodroma sp.,"Petrels, Shearwaters, and Diving-Petrels"
Pink-footed Shearwater,"Petrels, Shearwaters, and Diving-Petrels"
Flesh-footed Shearwater,"Petrels, Shearwaters, and Diving-Petrels"
Great Shearwater,"Petrels, Shearwaters, and Diving-Petrels"
Buller's Shearwater,"Petrels, Shearwaters, and Diving-Petrels"
Sooty Shearwater,"Petrels, Shearwaters, and Diving-Petrels"
Short-tailed Shearwater,"Petrels, Shearwaters, and Diving-Petrels"
Sooty/Short-tailed Shearwater,"Petrels, Shearwaters, and Diving-Petrels"
Manx Shearwater,"Petrels, Shearwaters, and Diving-Petrels"
Black-vented Shearwater,"Petrels, Shearwaters, and Diving-Petrels"
small shearwater sp.,"Petrels, Shearwaters, and Diving-Petrels"
shearwater sp.,"Petrels, Shearwaters, and Diving-Petrels"
procellariid sp.,"Petrels, Shearwaters, and Diving-Petrels"
Wood Stork,Storks
Magnificent Frigatebird,"Frigatebirds, Boobies, and Gannets"
Cocos Booby,"Frigatebirds, Boobies, and Gannets"
Masked Booby,"Frigatebirds, Boobies, and Gannets"
Nazca Booby,"Frigatebirds, Boobies, and Gannets"
Masked/Nazca Booby,"Frigatebirds, Boobies, and Gannets"
Blue-footed Booby,"Frigatebirds, Boobies, and Gannets"
Brandt's Cormorant,Cormorants and Anhingas
Red-faced Cormorant,Cormorants and Anhingas
Pelagic Cormorant,Cormorants and Anhingas
Double-crested Cormorant,Cormorants and Anhingas
cormorant sp.,Cormorants and Anhingas
White-faced Ibis,"Herons, Ibis, and Allies"
Glossy/White-faced Ibis,"Herons, Ibis, and Allies"
ibis sp.,"Herons, Ibis, and Allies"
American Bittern,"Herons, Ibis, and Allies"
Black-crowned Night Heron,"Herons, Ibis, and Allies"
Little Blue Heron,"Herons, Ibis, and Allies"
Snowy Egret,"Herons, Ibis, and Allies"
Green Heron,"Herons, Ibis, and Allies"
Western Cattle-Egret,"Herons, Ibis, and Allies"
Great Egret,"Herons, Ibis, and Allies"
Great Blue Heron,"Herons, Ibis, and Allies"
white egret sp.,"Herons, Ibis, and Allies"
American White Pelican,Pelicans
Brown Pelican,Pelicans
Black Vulture,"Vultures, Hawks, and Allies"
Turkey Vulture,"Vultures, Hawks, and Allies"
new world vulture sp.,"Vultures, Hawks, and Allies"
Osprey,"Vultures, Hawks, and Allies"
White-tailed Kite,"Vultures, Hawks, and Allies"
Golden Eagle,"Vultures, Hawks, and Allies"
Sharp-shinned Hawk,"Vultures, Hawks, and Allies"
Cooper's Hawk,"Vultures, Hawks, and Allies"
Sharp-shinned/Cooper's Hawk,"Vultures, Hawks, and Allies"
American Goshawk,"Vultures, Hawks, and Allies"
Cooper's Hawk/American Goshawk,"Vultures, Hawks, and Allies"
Accipitrine hawk sp. (former Accipiter sp.),"Vultures, Hawks, and Allies"
Northern Harrier,"Vultures, Hawks, and Allies"
Bald Eagle,"Vultures, Hawks, and Allies"
Golden/Bald Eagle,"Vultures, Hawks, and Allies"
Mississippi Kite,"Vultures, Hawks, and Allies"
Harris's Hawk,"Vultures, Hawks, and Allies"
Broad-winged Hawk,"Vultures, Hawks, and Allies"
Red-shouldered Hawk,"Vultures, Hawks, and Allies"
Swainson's Hawk,"Vultures, Hawks, and Allies"
Red-tailed Hawk,"Vultures, Hawks, and Allies"
Rough-legged Hawk,"Vultures, Hawks, and Allies"
Red-tailed x Rough-legged Hawk (hybrid),"Vultures, Hawks, and Allies"
Ferruginous Hawk,"Vultures, Hawks, and Allies"
Buteo sp.,"Vultures, Hawks, and Allies"
Buteo/eagle sp.,"Vultures, Hawks, and Allies"
hawk sp.,"Vultures, Hawks, and Allies"
eagle sp.,"Vultures, Hawks, and Allies"
American Barn Owl,Owls
Flammulated Owl,Owls
Western Screech-Owl,Owls
Snowy Owl,Owls
Great Horned Owl,Owls
Bubo sp.,Owls
Northern Hawk Owl,Owls
Northern Pygmy-Owl,Owls
Burrowing Owl,Owls
Spotted Owl,Owls
Barred Owl,Owls
Great Gray Owl,Owls
Long-eared Owl,Owls
Short-eared Owl,Owls
Long-eared/Short-eared Owl,Owls
Boreal Owl,Owls
Northern Saw-whet Owl,Owls
owl sp.,Owls
Belted Kingfisher,Kingfishers
Williamson's Sapsucker,Woodpeckers
Yellow-bellied Sapsucker,Woodpeckers
Red-naped Sapsucker,Woodpeckers
Yellow-bellied x Red-naped Sapsucker (hybrid),Woodpeckers
Yellow-bellied/Red-naped Sapsucker,Woodpeckers
Red-breasted Sapsucker,Woodpeckers
Yellow-bellied x Red-breasted Sapsucker (hybrid),Woodpeckers
Red-naped x Red-breasted Sapsucker (hybrid),Woodpeckers
Yellow-bellied/Red-naped x Red-breasted Sapsucker (hybrid),Woodpeckers
Red-naped/Red-breasted Sapsucker,Woodpeckers
sapsucker sp.,Woodpeckers
Lewis's Woodpecker,Woodpeckers
Red-headed Woodpecker,Woodpeckers
Acorn Woodpecker,Woodpeckers
American Three-toed Woodpecker,Woodpeckers
Black-backed Woodpecker,Woodpeckers
American Three-toed/Black-backed Woodpecker,Woodpeckers
Downy Woodpecker,Woodpeckers
Hairy Woodpecker,Woodpeckers
Downy/Hairy Woodpecker,Woodpeckers
White-headed Woodpecker,Woodpeckers
Pileated Woodpecker,Woodpeckers
Northern Flicker,Woodpeckers
woodpecker sp.,Woodpeckers
Crested Caracara,Falcons and Caracaras
American Kestrel,Falcons and Caracaras
Merlin,Falcons and Caracaras
Gyrfalcon,Falcons and Caracaras
Peregrine Falcon,Falcons and Caracaras
Prairie Falcon,Falcons and Caracaras
large falcon sp.,Falcons and Caracaras
small falcon sp.,Falcons and Caracaras
falcon sp.,Falcons and Caracaras
diurnal raptor sp.,Falcons and Caracaras
Cockatiel,Cockatoos
Budgerigar,"Parrots, Parakeets, and Allies"
Rosy-faced Lovebird,"Parrots, Parakeets, and Allies"
Monk Parakeet,"Parrots, Parakeets, and Allies"
Green-cheeked Parakeet,"Parrots, Parakeets, and Allies"
Olive-sided Flycatcher,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Western Wood-Pewee,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
pewee sp. (Contopus sp.),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Yellow-bellied Flycatcher,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Alder Flycatcher,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Willow Flycatcher,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Alder/Willow Flycatcher (Traill's Flycatcher),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Least Flycatcher,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Hammond's Flycatcher,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Gray Flycatcher,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Dusky Flycatcher,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Hammond's/Dusky Flycatcher,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Western Flycatcher,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Empidonax sp.,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Black Phoebe,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Eastern Phoebe,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Black x Eastern Phoebe (hybrid),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Say's Phoebe,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Vermilion Flycatcher,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Ash-throated Flycatcher,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Great Crested Flycatcher,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Myiarchus sp.,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Tropical Kingbird,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Western Kingbird,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Tropical x Western Kingbird (hybrid),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
yellow-bellied kingbird sp.,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Eastern Kingbird,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Western x Eastern Kingbird (hybrid),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Scissor-tailed Flycatcher,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Tyrannus sp.,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
new world flycatcher sp.,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
Black-capped Vireo,Vireos
White-eyed Vireo,Vireos
Bell's Vireo,Vireos
Hutton's Vireo,Vireos
Cassin's Vireo,Vireos
Blue-headed Vireo,Vireos
Cassin's/Blue-headed Vireo,Vireos
solitary vireo sp.,Vireos
Philadelphia Vireo,Vireos
Western Warbling Vireo,Vireos
Eastern/Western Warbling Vireo,Vireos
Red-eyed Vireo,Vireos
Philadelphia/Red-eyed Vireo,Vireos
Yellow-green Vireo,Vireos
vireo sp.,Vireos
Red-backed Shrike,Shrikes
Brown Shrike,Shrikes
Loggerhead Shrike,Shrikes
Northern Shrike,Shrikes
Loggerhead/Northern Shrike,Shrikes
shrike sp.,Shrikes
Canada Jay,"Jays, Magpies, Crows, and Ravens"
Pinyon Jay,"Jays, Magpies, Crows, and Ravens"
Steller's Jay,"Jays, Magpies, Crows, and Ravens"
Blue Jay,"Jays, Magpies, Crows, and Ravens"
Steller's x Blue Jay (hybrid),"Jays, Magpies, Crows, and Ravens"
California Scrub-Jay,"Jays, Magpies, Crows, and Ravens"
Steller's Jay x California Scrub-Jay (hybrid),"Jays, Magpies, Crows, and Ravens"
jay sp.,"Jays, Magpies, Crows, and Ravens"
Black-billed Magpie,"Jays, Magpies, Crows, and Ravens"
Clark's Nutcracker,"Jays, Magpies, Crows, and Ravens"
American Crow,"Jays, Magpies, Crows, and Ravens"
crow sp.,"Jays, Magpies, Crows, and Ravens"
Common Raven,"Jays, Magpies, Crows, and Ravens"
raven sp.,"Jays, Magpies, Crows, and Ravens"
crow/raven sp.,"Jays, Magpies, Crows, and Ravens"
corvid sp.,"Jays, Magpies, Crows, and Ravens"
Black-capped Chickadee,"Tits, Chickadees, and Titmice"
Mountain Chickadee,"Tits, Chickadees, and Titmice"
Black-capped x Mountain Chickadee (hybrid),"Tits, Chickadees, and Titmice"
Black-capped/Mountain Chickadee,"Tits, Chickadees, and Titmice"
Chestnut-backed Chickadee,"Tits, Chickadees, and Titmice"
